Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

230   	0x1.eb851eb851eb9p-5	0x1.2de7b0cd6db03p-5	63	0x1.0a0dcc1ff330dp-12	42	0x1.cb1590e043bdcp+5	1	37887240	e-	electron 
231   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	56	0x1.6a500ec85aa1cp-8	79	0x1.5aaa67ccd1cfep+5	1	37887240	gamma	gamma electron 
232   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dd1p-6	36	0x1.54ddfbaa8ad13p-18	28	0x1.3a9d843010b04p+5	1	37887240	gamma	gamma electron 
241   	0x1.eb851eb851eb9p-5	0x1.8fda580a2b9a3p-9	13	0x1.77f76b33c081ap-15	2	0x1.fd8bb5473fbcp+2	1	37887240	e-	electron 
246   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91938p-6	22	0x1.1b0b1a2504ad9p-16	26	0x1.af4ad35e9d0cfp+5	1	37887240	gamma	gamma electron 
248   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	66	0x1.9c3a71d90cd3bp-16	53	0x1.d4b97afc7aa55p+5	1	37887240	gamma	gamma electron 
250   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcep-6	30	0x1.5262e2daa45f8p-11	32	0x1.bf8a9c509320dp+5	1	37887240	gamma	gamma electron 
251   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91932p-6	25	0x1.a17e026972cb1p-18	37	0x1.43efa7ee79c6dp+5	1	37887240	gamma	gamma electron 
265   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	51	0x1.037eae182df04p-17	67	0x1.80252948ced8p+5	1	37887240	gamma	gamma electron 
268   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91936p-6	39	0x1.05c9360e041e4p-17	28	0x1.69ea7c141cb3ep+5	1	37887240	gamma	gamma electron 
272   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebdp-5	58	0x1.0d0ad7f55c88cp-17	57	0x1.788085b3a2edep+5	1	37887240	gamma	gamma electron 
273   	0x1.eb851eb851eb9p-5	0x1.56f17e5cfd312p-6	9	0x1.142de2a27022ep-12	23	0x1.7c04e34685bbap+5	1	37887240	gamma	gamma electron 
278   	0x1.eb851eb851eb9p-5	0x1.b116228134482p-6	19	0x1.a4c640277a719p-18	26	0x1.c4a73c73833fap+5	1	37887240	gamma	gamma electron 
282   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91932p-6	28	0x1.5aba10eb6ff09p-18	26	0x1.9247b91bad126p+5	1	37887240	gamma	gamma electron 
284   	0x1.eb851eb851eb9p-5	0x1.dbff9202032acp-5	90	0x1.158e016074e3ap-17	51	0x1.8f472351b835bp+5	1	37887240	gamma	gamma electron 
287   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	50	0x1.76960a42264e1p-18	61	0x1.571e0604bc0b4p+5	1	37887240	gamma	gamma electron 
288   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	76	0x1.614b6f46869e9p-12	63	0x1.58dbfc497ap+5	1	37887240	gamma	gamma electron 
297   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	60	0x1.e65574e8146e5p-17	59	0x1.a3476510ee65dp+5	1	37887240	gamma	gamma electron 
302   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	63	0x1.92f0ae3a9e587p-18	64	0x1.abb8e709f8903p+5	1	37887240	gamma	gamma electron 
304   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	54	0x1.9ee301776bd7ep-18	50	0x1.68f0203dedc4dp+5	1	37887240	gamma	gamma electron 
308   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	58	0x1.0e9eaa1ca37bap-17	48	0x1.35aed358468bap+5	1	37887240	gamma	gamma electron 
310   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	44	0x1.63fd8c81d5296p-10	62	0x1.b7b66bf9fac5ap+5	1	37887240	gamma	gamma electron 
313   	0x1.eb851eb851eb9p-5	0x1.bba044d1db07dp-6	58	0x1.006736464f0b8p-12	26	0x1.7ab9d8f0d72bap+5	1	37887240	e-	electron 
316   	0x1.eb851eb851eb9p-5	0x1.a381e547edd56p-6	22	0x1.cec2e0e759c9p-18	20	0x1.d000737942e9ap+5	1	37887240	gamma	gamma electron 
318   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	28	0x1.99fbe5aa19393p-16	36	0x1.6e59eb3ade9dp+5	1	37887240	gamma	gamma electron 
320   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	59	0x1.0eaf88f14c696p-9	95	0x1.643a21b937afap+5	1	37887240	gamma	gamma electron 
326   	0x1.eb851eb851eb9p-5	0x1.02f11d6935705p-5	38	0x1.0039c7a32cp-16	44	0x1.b6c32e83397c2p+5	1	37887240	e-	electron 
327   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcbp-6	32	0x1.6bce0dab07279p-17	20	0x1.c7b80a3fea0b8p+5	1	37887240	gamma	gamma electron 
332   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91936p-6	28	0x1.2a4f08a3344f8p-17	33	0x1.b58d32631eaep+4	1	37887240	gamma	gamma electron 
334   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	55	0x1.a69a97208916fp-18	62	0x1.abd5530ecc551p+5	1	37887240	gamma	gamma electron 
336   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	62	0x1.eb4b1e9a9a004p-18	49	0x1.0a64a747dd5d2p+5	1	37887240	gamma	gamma electron 
341   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	76	0x1.d19c8538e707fp-14	56	0x1.a2d88d083612cp+5	1	37887240	gamma	gamma electron 
342   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	63	0x1.5185a04cfba6cp-18	60	0x1.66b1ad01fae48p+5	1	37887240	gamma	gamma electron 
348   	0x1.eb851eb851eb9p-5	0x1.375aaa09894e4p-6	42	0x1.2822f1f502441p-13	21	0x1.e5fa9860c70ep+4	1	37887240	gamma	gamma electron 
349   	0x1.eb851eb851eb9p-5	0x1.b00e5024db81cp-6	21	0x1.f0874614d7897p-18	20	0x1.eb8533af770b5p+5	1	37887240	gamma	gamma electron 
350   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	60	0x1.8ede39dff3ceap-18	80	0x1.494874af169f5p+5	1	37887240	gamma	gamma electron 
352   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebcp-5	52	0x1.97a47cdb8a7dap-17	45	0x1.98ab2bc8089cp+5	1	37887240	gamma	gamma electron 
356   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	53	0x1.82c5df29b2db4p-18	63	0x1.391fba9c69c86p+5	1	37887240	gamma	gamma electron 
357   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	53	0x1.f01931fe2dc5p-10	58	0x1.8b95ede1ed733p+5	1	37887240	gamma	gamma electron 
358   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcap-6	22	0x1.5e1f16da9010ap-17	33	0x1.c06d675a7cf6dp+5	1	37887240	gamma	gamma electron 
361   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dccp-6	27	0x1.7550c1837cf0ap-16	38	0x1.67216727533dbp+5	1	37887240	gamma	gamma electron 
362   	0x1.eb851eb851eb9p-5	0x1.91eefe72281fdp-6	53	0x1.52279a35b8e8dp-17	21	0x1.3f2ddbbaf4ddap+5	1	37887240	gamma	gamma electron 
364   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	64	0x1.a1275c11fff61p-18	45	0x1.67e39166dc7efp+5	1	37887240	gamma	gamma electron 
368   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	53	0x1.fbf593894448ap-18	66	0x1.5f80533ed051dp+5	1	37887240	gamma	gamma electron 
370   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	49	0x1.577860e04aa4p-18	81	0x1.4e98e299990a3p+5	1	37887240	gamma	gamma electron 
373   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	66	0x1.8a445db59bfbdp-18	62	0x1.307e4dee01b4ep+5	1	37887240	gamma	gamma electron 
377   	0x1.eb851eb851eb9p-5	0x1.a34ca0c282c6ep-6	18	0x1.6879a3d09c8dfp-17	24	0x1.6123c72825cbap+5	1	37887240	gamma	gamma electron 
379   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcdp-6	41	0x1.fadace80080a9p-17	26	0x1.682e50607ef7ep+5	1	37887240	gamma	gamma electron 
380   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	67	0x1.657218122ddb1p-18	46	0x1.7addfb43ad169p+5	1	37887240	gamma	gamma electron 
382   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	59	0x1.6ff9d6ce3566fp-18	73	0x1.56b1de4780ae5p+5	1	37887240	gamma	gamma electron 
393   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	66	0x1.3bca772b25b4p-17	44	0x1.98318c4394859p+5	1	37887240	gamma	gamma electron 
