INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
AUTHOR     (W.B.AMIAN,R.C.BYRD,D.A.CLARK,C.A.GOULDING,M.M.MEIER,
           G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            597-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved by M. Meier, 21 May 1999.
HISTORY    (19980911C)
           (19990521A) Data units corrected.
EN
120.        5.2500E+01 5.0000E+00 2.3640E-05 2.4980E-06
120.        5.7500E+01 5.0000E+00 2.1380E-05 2.3300E-06
120.        6.2500E+01 5.0000E+00 2.0910E-05 2.3000E-06
120.        6.7500E+01 5.0000E+00 1.7770E-05 2.2510E-06
120.        7.2500E+01 5.0000E+00 1.5510E-05 2.1870E-06
120.        7.7500E+01 5.0000E+00 1.2710E-05 2.1400E-06
120.        8.2500E+01 5.0000E+00 7.9570E-06 2.2430E-06
120.        8.7500E+01 5.0000E+00 9.7000E-06 2.0170E-06
120.        9.2500E+01 5.0000E+00 9.2650E-06 1.9500E-06
120.        9.7500E+01 5.0000E+00 6.9920E-06 1.8160E-06
120.        1.0750E+02 1.0000E+01 5.6360E-06 1.2130E-06
120.        1.1500E+02 1.0000E+01 4.5530E-06 1.1150E-06
120.        1.2500E+02 1.0000E+01 2.7620E-06 1.0210E-06
120.        1.3500E+02 1.0000E+01 2.2810E-06 9.6660E-07
120.        1.4500E+02 1.0000E+01 1.6090E-06 9.2200E-07
120.        1.5500E+02 1.0000E+01 8.1650E-07 8.5250E-07
120.        1.6500E+02 1.0000E+01 6.8550E-07 8.0790E-07
120.        1.7500E+02 1.0000E+01 5.1500E-07 7.7770E-07
120.        1.8500E+02 1.0000E+01 4.3060E-07 7.3960E-07
120.        1.9500E+02 1.0000E+01 3.3000E-07 6.9180E-07
120.        2.1000E+02 2.0000E+01 1.3830E-07 4.9220E-07
120.        2.3000E+02 2.0000E+01 1.5070E-08 4.4200E-07
150.        5.2500E-01 5.0000E-01 0.0        0.0
150.        5.2500E-01 5.0000E-01 9.1330E-04 5.4190E-04
150.        5.7500E-01 5.0000E-01 7.9030E-04 4.3670E-04
150.        6.2500E-01 5.0000E-01 8.0670E-04 3.7630E-04
150.        6.7500E-01 5.0000E-01 8.4710E-04 3.3760E-04
150.        7.2500E-01 5.0000E-01 7.5640E-04 3.1200E-04
150.        7.7500E-01 5.0000E-01 9.4310E-04 2.9260E-04
150.        8.2500E-01 5.0000E-01 8.7820E-04 2.7590E-04
150.        8.7500E-01 5.0000E-01 7.9700E-04 2.5940E-04
150.        9.2500E-01 5.0000E-01 9.9840E-04 2.6750E-04
150.        9.7500E-01 5.0000E-01 7.9050E-04 2.5970E-04
