TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (40-ZR-94(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     ZR-94(91.2 PERCENT).THICKNESS OF FOIL=4.91E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        383
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 9.3700E+00 1.2000E+02 2.0200E+00 1.6000E-01
 9.3700E+00 1.5000E+02 2.2800E+00 1.8000E-01
 9.6000E+00 3.0000E+01 1.8580E+01 1.1200E+00
 9.6000E+00 6.0000E+01 4.7600E+00 2.8000E-01
 9.6000E+00 9.0000E+01 2.5800E+00 1.8000E-01
 9.6000E+00 1.2000E+02 1.9400E+00 1.4000E-01
 9.6000E+00 1.5000E+02 2.1800E+00 1.9000E-01
 9.8500E+00 3.0000E+01 1.7490E+01 1.1100E+00
 9.8500E+00 6.0000E+01 4.5000E+00 2.8000E-01
 9.8500E+00 9.0000E+01 2.4700E+00 1.5000E-01
 9.8500E+00 1.2000E+02 1.9500E+00 1.6000E-01
 9.8500E+00 1.5000E+02 1.9400E+00 1.7000E-01
 1.0100E+01 3.0000E+01 1.6040E+01 1.1400E+00
 1.0100E+01 6.0000E+01 4.2000E+00 2.9000E-01
 1.0100E+01 9.0000E+01 2.2200E+00 1.8000E-01
 1.0100E+01 1.2000E+02 1.8100E+00 1.6000E-01
 1.0100E+01 1.5000E+02 1.6600E+00 1.6000E-01
 1.0360E+01 3.0000E+01 1.4910E+01 1.1800E+00
 1.0360E+01 6.0000E+01 3.9300E+00 3.1000E-01
 1.0360E+01 9.0000E+01 2.0400E+00 1.8000E-01
 1.0360E+01 1.2000E+02 1.5800E+00 1.6000E-01
 1.0360E+01 1.5000E+02 1.6500E+00 1.7000E-01
 1.0640E+01 3.0000E+01 1.4270E+01 1.3100E+00
 1.0640E+01 6.0000E+01 3.8300E+00 3.5000E-01
 1.0640E+01 9.0000E+01 1.8900E+00 1.9000E-01
 1.0640E+01 1.2000E+02 1.4100E+00 5.0000E-01
 1.0640E+01 1.5000E+02 1.3900E+00 1.7000E-01
 1.0920E+01 3.0000E+01 1.3120E+01 1.4700E+00
 1.0920E+01 6.0000E+01 3.6200E+00 4.0000E-01
 1.0920E+01 9.0000E+01 1.7600E+00 2.1000E-01
 1.0920E+01 1.2000E+02 1.3800E+00 1.9000E-01
 1.0920E+01 1.5000E+02 1.3000E+00 1.8000E-01
 1.1220E+01 3.0000E+01 1.1850E+01 1.7200E+00
 1.1220E+01 6.0000E+01 3.1600E+00 4.6000E-01
 1.1220E+01 9.0000E+01 1.7200E+00 2.6000E-01
 1.1220E+01 1.5000E+02 1.1500E+00 1.8000E-01
 1.1220E+01 1.5000E+02 1.1100E+00 1.9000E-01
 1.1530E+01 3.0000E+01 1.0650E+01 1.9500E+00
 1.1530E+01 6.0000E+01 2.9300E+00 5.3000E-01
 1.1530E+01 9.0000E+01 1.5800E+00 3.0000E-01
 1.1530E+01 1.2000E+02 1.1900E+00 2.4000E-01
 1.1530E+01 1.5000E+02 1.0300E+00 2.1000E-01
 1.1850E+01 3.0000E+01 1.0000E+01 2.2000E+00
 1.1850E+01 6.0000E+01 2.7800E+00 6.1000E-01
 1.1850E+01 9.0000E+01 1.5000E+00 3.4000E-01
 1.1850E+01 1.2000E+02 9.1000E-01 2.1000E-01
 1.1850E+01 1.5000E+02 9.7000E-01 2.5000E-01
 1.2180E+01 3.0000E+01 9.1100E+00 2.2300E+00
 1.2180E+01 6.0000E+01 2.5300E+00 6.2000E-01
 1.2180E+01 9.0000E+01 1.3300E+00 3.3000E-01
 1.2180E+01 1.2000E+02 8.5000E-01 2.2000E-01
 1.2180E+01 1.5000E+02 7.7000E-01 2.2000E-01
 1.2530E+01 3.0000E+01 8.3500E+00 2.1300E+00
 1.2530E+01 6.0000E+01 2.3000E+00 5.9000E-01
 1.2530E+01 9.0000E+01 1.1200E+00 2.9000E-01
 1.2530E+01 1.2000E+02 8.1000E-01 2.2000E-01
 1.2530E+01 1.5000E+02 5.8000E-01 1.6000E-01
 1.2900E+01 3.0000E+01 7.0900E+00 1.8200E+00
 1.2900E+01 6.0000E+01 2.0900E+00 5.4000E-01
 1.2900E+01 9.0000E+01 1.1000E+00 2.9000E-01
 1.2900E+01 1.2000E+02 7.1000E-01 1.9000E-01
 1.2900E+01 1.5000E+02 5.6000E-01 1.6000E-01
 1.3280E+01 3.0000E+01 6.4800E+00 1.6600E+00
 1.3280E+01 6.0000E+01 1.9400E+00 5.0000E-01
 1.3280E+01 9.0000E+01 1.0200E+00 2.7000E-01
 1.3280E+01 1.2000E+02 6.5000E-01 1.8000E-01
 1.3280E+01 1.5000E+02 6.1000E-01 1.8000E-01
 1.3680E+01 3.0000E+01 5.8900E+00 1.5200E+00
 1.3680E+01 6.0000E+01 1.8300E+00 4.7000E-01
 1.3680E+01 9.0000E+01 8.8000E-01 2.3000E-01
 1.3680E+01 1.2000E+02 5.7000E-01 1.6000E-01
 1.3680E+01 1.5000E+02 5.1000E-01 1.6000E-01
 1.4100E+01 3.0000E+01 5.4100E+00 1.4000E+00
 1.4100E+01 6.0000E+01 1.7200E+00 4.4000E-01
 1.4100E+01 9.0000E+01 8.8000E-01 2.3000E-01
 1.4100E+01 1.2000E+02 5.7000E-01 1.6000E-01
 1.4100E+01 1.5000E+02 4.2000E-01 1.4000E-01
 1.4530E+01 3.0000E+01 4.9200E+00 1.2700E+00
 1.4530E+01 6.0000E+01 1.4300E+00 3.7000E-01
