      118.7      119.2 5.1468E-04
      119.2      119.7         0.
      119.7      120.2 2.9427E-03
ENDDATA            183
EN         ANG
MEV        ADEG
       120.        48.
ENDCOMMON            3
DATA                 3        181
E-MIN      E-MAX      DATA
MEV        MEV        MB/SR/MEV
      29.75      30.25      3.193
      30.25      30.75      2.999
      30.75      31.25      2.954
      31.25      31.75      3.040
      31.75      32.25      2.930
      32.25      32.75      3.079
      32.75      33.25      2.980
      33.25      33.75      2.913
      33.75      34.25      2.964
      34.25      34.75      3.028
      34.75      35.25      2.931
      35.25      35.75      2.969
      35.75      36.25      2.923
      36.25      36.75      3.130
      36.75      37.25      3.057
      37.25      37.75      3.229
      37.75      38.25      3.183
      38.25      38.75      3.187
      38.75      39.25      3.128
